forecast_name,target_location,forecast_start_date,forecast_end_date,metric_name,vertical,log_cat,excluded_locations,control_locations,platform,custom_sql,covariates_sql,fbprophet_params,ci_control_locations,ci_covariates
brand_search_2023,"Орловская область,Рязанская область,Брянская область",2023-02-08,2023-03-22,buyers,Any,Any,-none-,"Ростовская область,Нижегородская область,Воронежская область,Волгоградская область,Оренбургская область",avito.ru,,,"{'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.01, 'changepoint_prior_scale': 0.1, 'changepoint_range': 0.8, 'growth': 'linear', 'holidays_prior_scale': 0.1}",,
brand_search_2023,"Орловская область,Рязанская область,Брянская область",2023-02-08,2023-03-22,active_listers,Any,Any,-none-,"Ростовская область,Нижегородская область,Воронежская область,Волгоградская область,Оренбургская область",avito.ru,,,"{'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.01, 'holidays_prior_scale': 0.01}",,
brand_search_2023,"Орловская область,Рязанская область,Брянская область",2023-02-08,2023-03-22,new_listers,Any,Any,-none-,"Ростовская область,Нижегородская область,Воронежская область,Волгоградская область,Оренбургская область",avito.ru,"select
    event_date as ds, 
    case when Region in ('Орловская область','Рязанская область','Брянская область','Владимирская область') then 'target' else region end as region, 
    count(uc.user_id) as y from DMA.user_cohort uc
where event_date::Date >= getdate()::date - 365*4
group by 1,2",,"{'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.1, 'changepoint_prior_scale': 0.1, 'changepoint_range': 0.8, 'growth': 'linear', 'holidays_prior_scale': 0.01}",,
brand_search_2023,"Орловская область,Рязанская область,Брянская область",2023-02-08,2023-03-22,user_item_view,Any,Any,-none-,"Ростовская область,Нижегородская область,Воронежская область,Волгоградская область,Оренбургская область",avito.ru,,,"{'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.01, 'changepoint_prior_scale': 0.05, 'changepoint_range': 0.95, 'growth': 'linear', 'holidays_prior_scale': 0.01}",,
brand_search_2023,"Орловская область,Рязанская область,Брянская область",2023-02-08,2023-03-22,buyers,General,Any,-none-,"Ростовская область,Нижегородская область,Воронежская область,Волгоградская область,Оренбургская область",avito.ru,,,"{'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.01, 'changepoint_prior_scale': 0.05, 'changepoint_range': 0.8, 'growth': 'linear', 'holidays_prior_scale': 0.01}",,
brand_search_2023,"Орловская область,Рязанская область,Брянская область",2023-02-08,2023-03-22,buyers,Transport,Any,-none-,"Ростовская область,Нижегородская область,Воронежская область,Волгоградская область,Оренбургская область",avito.ru,,,"{'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.01, 'changepoint_prior_scale': 0.5, 'changepoint_range': 0.8, 'growth': 'linear', 'holidays_prior_scale': 1.0}",,
brand_search_2023,"Орловская область,Рязанская область,Брянская область",2023-02-08,2023-03-22,buyers,Services,Any,-none-,"Ростовская область,Нижегородская область,Воронежская область,Волгоградская область,Оренбургская область",avito.ru,,,"{'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.01, 'changepoint_prior_scale': 0.5, 'changepoint_range': 0.9, 'growth': 'linear', 'holidays_prior_scale': 0.01}",,
cpt_lfst_test,Any,2022-12-06,2023-01-26,paid_gmv,General,"General.Fashion,General.Sports,General.Hobby,General.GoodsForChildren,General.HealthAndBeauty","Владимирская область,Калужская область, Нижегородская область, Ростовская область,  Самарская область,Свердловская область, Тверская область,Тульская область,Ярославская область",,,"select pay_date::date as ds
    ,  seller_region as region
    , sum(items_price) as y 
from dma.tv_current_order_full_mini cof 
join dma.current_microcategories using(microcat_id) 
where create_date::date >= '2018-07-01' 
and subcategory_id in (47, 18, 5, 11, 16, 57,22,60,37,52)
and pay_date is not null
and seller_region not in ('Владимирская область','Калужская область', 'Нижегородская область', 'Ростовская область',  'Самарская область','Свердловская область', 'Тверская область','Тульская область','Ярославская область')
group by 1,2

","select pay_date::date as ds
    ,  seller_region as region
    , sum(items_price) as y 
from dma.tv_current_order_full_mini cof 
join dma.current_microcategories using(microcat_id) 
where create_date::date >= '2018-07-01' 
and cof.logical_category in ('General.Electronics', 'General.HoneAndGarden')
and pay_date is not null
and seller_region not in ('Владимирская область','Калужская область', 'Нижегородская область', 'Ростовская область',  'Самарская область','Свердловская область', 'Тверская область','Тульская область','Ярославская область')
group by 1,2

",,,
mrk_yandex_retargeting_2023_transport,"Ростовская область,Нижегородская область,Воронежская область,Волгоградская область,Оренбургская область",2023-02-28,2023-03-31,buyers_from,Transport,Any,-none-,"Краснодарский край,Тамбовская область,Саратовская область,Самарская область,Белгородская область,Пензенская область",any,"select  
csc.eventdate::date as ds ,
            case 
                when Region in ('Ростовская область','Нижегородская область','Воронежская область',
                'Волгоградская область','Оренбургская область')
                then 'target' 
                else region end as region,
        count(distinct hash(Event_Date::date, logical_category_id, Cookie_id)) as y
from DMA.click_stream_contacts csc  
join DMA.current_microcategories cm using(microcat_id) 
join DMA.users_home_location_segment l on participant_id = user_id and l.event_date = csc.eventdate::date  
join DMA.current_locations cl on cl.location_id = l.home_city_id 
where EventDate::date >= '2019-01-01'::date 
and csc.user_id not in (select user_id from dma.current_user where isTest) 
and split_part(cm.logical_category, '.', 1) = 'Transport'
and Platform_id = 3
group by 1,2
order by 1,2",,,,
mrk_yandex_retargeting_2023_transport,"Ростовская область,Нижегородская область,Воронежская область,Волгоградская область,Оренбургская область",2023-02-28,2023-03-31,buyers_from,Transport,Any,-none-,"Краснодарский край,Тамбовская область,Саратовская область,Самарская область,Белгородская область,Пензенская область",android,"select  
csc.eventdate::date as ds ,
            case 
                when Region in ('Ростовская область','Нижегородская область','Воронежская область',
                'Волгоградская область','Оренбургская область')
                then 'target' 
                else region end as region,
        count(distinct hash(Event_Date::date, logical_category_id, Cookie_id)) as y
from DMA.click_stream_contacts csc  
join DMA.current_microcategories cm using(microcat_id) 
join DMA.users_home_location_segment l on participant_id = user_id and l.event_date = csc.eventdate::date  
join DMA.current_locations cl on cl.location_id = l.home_city_id 
where EventDate::date >= '2019-01-01'::date 
and csc.user_id not in (select user_id from dma.current_user where isTest) 
and split_part(cm.logical_category, '.', 1) = 'Transport'
group by 1,2
order by 1,2",,,,
